12:04:37.110  WARNING  core.camera_card_browser  Błąd pobierania IMG_3925.JPG: [-2] Bad parameters
12:04:37.131  WARNING  core.camera_card_browser  Błąd pobierania IMG_3926.JPG: [-2] Bad parameters
12:04:37.151  WARNING  core.camera_card_browser  Błąd pobierania IMG_3927.JPG: [-2] Bad parameters
12:04:37.172  WARNING  core.camera_card_browser  Błąd pobierania IMG_3928.JPG: [-2] Bad parameters
12:04:37.192  WARNING  core.camera_card_browser  Błąd pobierania IMG_3929.JPG: [-2] Bad parameters
12:04:37.212  WARNING  core.camera_card_browser  Błąd pobierania IMG_3930.JPG: [-2] Bad parameters
12:04:37.233  WARNING  core.camera_card_browser  Błąd pobierania IMG_3931.JPG: [-2] Bad parameters
12:04:37.254  WARNING  core.camera_card_browser  Błąd pobierania IMG_3932.JPG: [-2] Bad parameters
12:04:37.274  WARNING  core.camera_card_browser  Błąd pobierania IMG_3933.JPG: [-2] Bad parameters
12:04:37.295  WARNING  core.camera_card_browser  Błąd pobierania IMG_3934.JPG: [-2] Bad parameters
12:04:37.315  WARNING  core.camera_card_browser  Błąd pobierania IMG_3935.JPG: [-2] Bad parameters
12:04:37.336  WARNING  core.camera_card_browser  Błąd pobierania IMG_3936.JPG: [-2] Bad parameters
12:04:37.356  WARNING  core.camera_card_browser  Błąd pobierania IMG_3937.JPG: [-2] Bad parameters
12:04:37.377  WARNING  core.camera_card_browser  Błąd pobierania IMG_3938.JPG: [-2] Bad parameters
12:04:37.389  WARNING  core.camera_probe  CameraProbe connect error: -1
12:04:37.398  WARNING  core.camera_card_browser  Błąd pobierania IMG_3939.JPG: [-2] Bad parameters
12:04:37.418  WARNING  core.camera_card_browser  Błąd pobierania IMG_3940.JPG: [-2] Bad parameters
12:04:37.438  WARNING  core.camera_card_browser  Błąd pobierania IMG_3941.JPG: [-2] Bad parameters
12:04:37.459  WARNING  core.camera_card_browser  Błąd pobierania IMG_3942.JPG: [-2] Bad parameters
12:04:37.480  WARNING  core.camera_card_browser  Błąd pobierania IMG_3943.JPG: [-2] Bad parameters
12:04:37.500  WARNING  core.camera_card_browser  Błąd pobierania IMG_3944.JPG: [-2] Bad parameters
12:04:37.521  WARNING  core.camera_card_browser  Błąd pobierania IMG_3945.JPG: [-2] Bad parameters
12:04:37.541  WARNING  core.camera_card_browser  Błąd pobierania IMG_3946.JPG: [-2] Bad parameters
12:04:37.562  WARNING  core.camera_card_browser  Błąd pobierania IMG_3947.JPG: [-2] Bad parameters
12:04:37.583  WARNING  core.camera_card_browser  Błąd pobierania IMG_3948.JPG: [-2] Bad parameters
12:04:37.603  WARNING  core.camera_card_browser  Błąd pobierania IMG_3949.JPG: [-2] Bad parameters
12:04:37.624  WARNING  core.camera_card_browser  Błąd pobierania IMG_3950.JPG: [-2] Bad parameters
12:04:37.644  WARNING  core.camera_card_browser  Błąd pobierania IMG_3951.JPG: [-2] Bad parameters
12:04:37.667  WARNING  core.camera_card_browser  Błąd pobierania IMG_3952.JPG: [-2] Bad parameters
12:04:37.687  WARNING  core.camera_card_browser  Błąd pobierania IMG_3953.JPG: [-2] Bad parameters
12:04:37.708  WARNING  core.camera_card_browser  Błąd pobierania IMG_3954.JPG: [-2] Bad parameters
12:04:37.728  WARNING  core.camera_card_browser  Błąd pobierania IMG_3955.JPG: [-2] Bad parameters
12:04:37.749  WARNING  core.camera_card_browser  Błąd pobierania IMG_3956.JPG: [-2] Bad parameters
12:04:37.769  WARNING  core.camera_card_browser  Błąd pobierania IMG_3957.JPG: [-2] Bad parameters
12:04:37.790  WARNING  core.camera_card_browser  Błąd pobierania IMG_3958.JPG: [-2] Bad parameters
12:04:37.811  WARNING  core.camera_card_browser  Błąd pobierania IMG_3959.JPG: [-2] Bad parameters
12:04:37.831  WARNING  core.camera_card_browser  Błąd pobierania IMG_3960.JPG: [-2] Bad parameters
12:04:37.852  WARNING  core.camera_card_browser  Błąd pobierania IMG_3961.JPG: [-2] Bad parameters
12:04:37.872  WARNING  core.camera_card_browser  Błąd pobierania IMG_3962.JPG: [-2] Bad parameters
12:04:37.893  WARNING  core.camera_card_browser  Błąd pobierania IMG_3963.JPG: [-2] Bad parameters
12:04:37.913  WARNING  core.camera_card_browser  Błąd pobierania IMG_3964.JPG: [-2] Bad parameters
12:04:37.934  WARNING  core.camera_card_browser  Błąd pobierania IMG_3965.JPG: [-2] Bad parameters
12:04:37.954  WARNING  core.camera_card_browser  Błąd pobierania IMG_3966.JPG: [-2] Bad parameters
12:04:37.975  WARNING  core.camera_card_browser  Błąd pobierania IMG_3967.JPG: [-2] Bad parameters
12:04:37.996  WARNING  core.camera_card_browser  Błąd pobierania IMG_3968.JPG: [-2] Bad parameters
12:04:38.016  WARNING  core.camera_card_browser  Błąd pobierania IMG_3969.JPG: [-2] Bad parameters
12:04:38.037  WARNING  core.camera_card_browser  Błąd pobierania IMG_3970.JPG: [-2] Bad parameters
12:04:38.057  WARNING  core.camera_card_browser  Błąd pobierania IMG_3971.JPG: [-2] Bad parameters
12:04:38.078  WARNING  core.camera_card_browser  Błąd pobierania IMG_3972.JPG: [-2] Bad parameters
12:04:38.099  WARNING  core.camera_card_browser  Błąd pobierania IMG_3973.JPG: [-2] Bad parameters
12:04:38.119  WARNING  core.camera_card_browser  Błąd pobierania IMG_3974.JPG: [-2] Bad parameters
12:04:38.140  WARNING  core.camera_card_browser  Błąd pobierania IMG_3975.JPG: [-2] Bad parameters
12:04:38.160  WARNING  core.camera_card_browser  Błąd pobierania IMG_3976.JPG: [-2] Bad parameters
12:04:38.181  WARNING  core.camera_card_browser  Błąd pobierania IMG_3977.JPG: [-2] Bad parameters
12:04:38.201  WARNING  core.camera_card_browser  Błąd pobierania IMG_3978.JPG: [-2] Bad parameters
12:04:38.222  WARNING  core.camera_card_browser  Błąd pobierania IMG_3979.JPG: [-2] Bad parameters
12:04:38.243  WARNING  core.camera_card_browser  Błąd pobierania IMG_3980.JPG: [-2] Bad parameters
12:04:38.264  WARNING  core.camera_card_browser  Błąd pobierania IMG_3981.JPG: [-2] Bad parameters
12:04:38.284  WARNING  core.camera_card_browser  Błąd pobierania IMG_3982.JPG: [-2] Bad parameters
12:04:38.305  WARNING  core.camera_card_browser  Błąd pobierania IMG_3983.JPG: [-2] Bad parameters
12:04:38.325  WARNING  core.camera_card_browser  Błąd pobierania IMG_3984.JPG: [-2] Bad parameters
12:04:38.346  WARNING  core.camera_card_browser  Błąd pobierania IMG_3985.JPG: [-2] Bad parameters
12:04:38.366  WARNING  core.camera_card_browser  Błąd pobierania IMG_3986.JPG: [-2] Bad parameters
12:04:38.387  WARNING  core.camera_card_browser  Błąd pobierania IMG_3987.JPG: [-2] Bad parameters
12:04:38.407  WARNING  core.camera_card_browser  Błąd pobierania IMG_3988.JPG: [-2] Bad parameters
12:04:38.428  WARNING  core.camera_card_browser  Błąd pobierania IMG_3989.JPG: [-2] Bad parameters
12:04:38.449  WARNING  core.camera_card_browser  Błąd pobierania IMG_3990.JPG: [-2] Bad parameters
12:04:38.469  WARNING  core.camera_card_browser  Błąd pobierania IMG_3991.JPG: [-2] Bad parameters
12:04:38.489  WARNING  core.camera_card_browser  Błąd pobierania IMG_3992.JPG: [-2] Bad parameters
12:04:38.510  WARNING  core.camera_card_browser  Błąd pobierania IMG_3993.JPG: [-2] Bad parameters
12:04:38.530  WARNING  core.camera_card_browser  Błąd pobierania IMG_3994.JPG: [-2] Bad parameters
12:04:38.553  WARNING  core.camera_card_browser  Błąd pobierania IMG_3995.JPG: [-2] Bad parameters
12:04:38.574  WARNING  core.camera_card_browser  Błąd pobierania IMG_3996.JPG: [-2] Bad parameters
12:04:38.596  WARNING  core.camera_card_browser  Błąd pobierania IMG_3997.JPG: [-2] Bad parameters
12:04:38.616  WARNING  core.camera_card_browser  Błąd pobierania IMG_3998.JPG: [-2] Bad parameters
12:04:38.637  WARNING  core.camera_card_browser  Błąd pobierania IMG_3999.JPG: [-2] Bad parameters
12:04:38.657  WARNING  core.camera_card_browser  Błąd pobierania IMG_4000.JPG: [-2] Bad parameters
12:04:38.678  WARNING  core.camera_card_browser  Błąd pobierania IMG_4001.JPG: [-2] Bad parameters
12:04:38.698  WARNING  core.camera_card_browser  Błąd pobierania IMG_4002.JPG: [-2] Bad parameters
12:04:38.719  WARNING  core.camera_card_browser  Błąd pobierania IMG_4003.JPG: [-2] Bad parameters
12:04:38.739  WARNING  core.camera_card_browser  Błąd pobierania IMG_4004.JPG: [-2] Bad parameters
12:04:38.760  WARNING  core.camera_card_browser  Błąd pobierania IMG_4005.JPG: [-2] Bad parameters
12:04:38.780  WARNING  core.camera_card_browser  Błąd pobierania IMG_4006.JPG: [-2] Bad parameters
12:04:38.801  WARNING  core.camera_card_browser  Błąd pobierania IMG_4007.JPG: [-2] Bad parameters
12:05:06.226  WARNING  core.camera_probe  CameraProbe connect error: -7
12:05:13.214  WARNING  core.camera_probe  CameraProbe connect error: -10
17:08:03.952  WARNING  gphoto  [USB ] ERROR code=-1 consecutive=1/20
17:08:03.952  WARNING  gphoto  GPhoto2Error w pÄ™tli: code=-1 (bÅ‚Ä…d 1/20)
17:08:04.455  WARNING  gphoto  [USB ] ERROR code=-52 consecutive=2/20
17:08:04.455  WARNING  gphoto  GPhoto2Error w pÄ™tli: code=-52 (bÅ‚Ä…d 2/20)
17:08:05.955  WARNING  gphoto  [USB ] ERROR code=-52 consecutive=3/20
17:08:05.956  WARNING  gphoto  GPhoto2Error w pÄ™tli: code=-52 (bÅ‚Ä…d 3/20)
17:08:05.957  WARNING  gphoto  BÅ‚Ä…d przy zamykaniu aparatu: [-52] Could not find the requested device on the USB port
17:26:47.346  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:02:59.120  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
01:41:13.357  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
01:41:43.398  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
02:07:46.694  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:21:16.418  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:21:26.481  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:34:15.582  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:37:52.452  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:41:22.338  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:41:29.059  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:45:47.063  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:17:14.747  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:19:56.096  WARNING  core.session_runner  Brak plików do usunięcia z karty
23:04:55.683  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
23:17:31.777  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
23:55:36.169  WARNING  gphoto  Capture failed: gphoto2 error -52
23:55:36.169  WARNING  gphoto  Capture: heavy USB error — kończę sesję
23:55:36.170  WARNING  gphoto  BÅ‚Ä…d przy zamykaniu aparatu: [-52] Could not find the requested device on the USB port
00:31:01.024  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
00:31:38.429  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
00:33:52.962  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
00:39:29.050  WARNING  core.session_runner  Brak plików do usunięcia z karty
22:31:58.926  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:46:03.716  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:49:42.495  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:58:56.681  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:52:24.648  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:52:59.131  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:00:49.177  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:00:53.148  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:01:22.709  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:01:37.183  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:29:05.959  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:29:50.456  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:30:00.990  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:39:19.428  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:39:25.983  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:40:42.945  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:45:23.433  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:45:35.992  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:45:50.485  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:49:29.013  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:52:55.506  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:53:11.992  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
21:58:13.663  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:43:02.983  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:45:39.903  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:55:38.551  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:35:20.813  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:44:42.271  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:47:54.840  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
23:32:08.064  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
00:01:28.339  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
00:42:41.856  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
08:20:24.960  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd ustawiania drivemode=Timer 2 sec: -52
08:20:24.961  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
08:22:48.112  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
20:37:11.708  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd ustawiania drivemode=Timer 2 sec: -52
20:37:11.710  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
22:10:07.609  WARNING  core.camera_settings_worker  CameraSettingsWorker: błąd zamykania: [-52] Could not find the requested device on the USB port
